MAX FINANCIAL SERV LTD              ,MFSL      ,https://www.moneycontrol.com/india/stockpricequote/finance-investments/maxfinancialservices/MI,,,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
MAHANAGAR GAS LTD.                  ,MGL       ,https://www.moneycontrol.com/india/stockpricequote/refineries/mahanagargas/MG02,,,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
MINDTREE LIMITED                    ,MINDTREE  ,https://www.moneycontrol.com/india/stockpricequote/computers-software/mindtree/MT13,,,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
BRITANNIA INDUSTRIES LTD            ,BRITANNIA ,https://www.moneycontrol.com/india/stockpricequote/food-processing/britanniaindustries/BI,,,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
MRF LTD                             ,MRF       ,https://www.moneycontrol.com/india/stockpricequote/tyres/mrf/MRF,,,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
UPL LIMITED                         ,UPL       ,https://www.moneycontrol.com/india/stockpricequote/chemicals/upl/UP04,,,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
COFORGE LIMITED                     ,COFORGE   ,https://www.moneycontrol.com/india/stockpricequote/computers-software/coforgelimited/NII02,,,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
NTPC LTD                            ,NTPC      ,https://www.moneycontrol.com/india/stockpricequote/power-generationdistribution/ntpc/NTP,,,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
OIL AND NATURAL GAS CORP.           ,ONGC      ,https://www.moneycontrol.com/india/stockpricequote/oil-drillingexploration/oilnaturalgascorporation/ONG,,,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
PETRONET LNG LIMITED                ,PETRONET  ,https://www.moneycontrol.com/india/stockpricequote/oil-drillingexploration/petronetlng/PLN,,,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
PVR LIMITED                         ,PVR       ,https://www.moneycontrol.com/india/stockpricequote/mediaentertainment/pvr/PVR,,,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
THE RAMCO CEMENTS LIMITED           ,RAMCOCEM  ,https://www.moneycontrol.com/india/stockpricequote/cement-major/theramcocements/MC,,,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
REC LIMITED                         ,RECLTD    ,https://www.moneycontrol.com/india/stockpricequote/finance-term-lending-institutions/rec/REC02,,,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
RELIANCE INDUSTRIES LTD             ,RELIANCE  ,https://www.moneycontrol.com/india/stockpricequote/refineries/relianceindustries/RI,,,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
SBI LIFE INSURANCE CO LTD           ,SBILIFE   ,https://www.moneycontrol.com/india/stockpricequote/diversified/sbilifeinsurancecompany/SLI03,,,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
SHREE CEMENT LIMITED                ,SHREECEM  ,https://www.moneycontrol.com/india/stockpricequote/cement-major/shreecements/SC12,,,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
SUN TV NETWORK LIMITED              ,SUNTV     ,https://www.moneycontrol.com/india/stockpricequote/mediaentertainment/suntvnetwork/STN01,,,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
TATA CONSUMER PRODUCT LTD           ,TATACONSUM,https://www.moneycontrol.com/india/stockpricequote/plantations-teacoffee/tataconsumerproducts/TT,,,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
TATA MOTORS LIMITED                 ,TATAMOTORS,https://www.moneycontrol.com/india/stockpricequote/auto-lcvshcvs/tatamotors/TM03,,,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
BANK OF BARODA                      ,BANKBARODA,https://www.moneycontrol.com/india/stockpricequote/banks-public-sector/bankbaroda/BOB,,,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
